Date,GOOG,MSFT,AAPL
2022-01-03,144.21725463867188,325.03802490234375,178.64564514160156
2022-01-04,143.56314086914062,319.4645690917969,176.3783416748047
2022-01-05,136.840087890625,307.2010803222656,171.68667602539062
2022-01-06,136.73822021484375,304.7735900878906,168.82069396972656
2022-01-07,136.1949462890625,304.9289245605469,168.987548828125
2022-01-10,137.7551727294922,305.1522521972656,169.00717163085938
2022-01-11,139.19012451171875,305.84161376953125,171.84371948242188
2022-01-12,140.81100463867188,309.03619384765625,172.28541564941406
2022-01-13,138.30886840820312,295.9569396972656,169.00717163085938
2022-01-14,138.96051025390625,301.2003479003906,169.8709259033203
2022-01-18,135.4851531982422,293.8692932128906,166.661376953125
2022-01-19,134.8504180908203,294.5296325683594,163.15733337402344
2022-01-20,132.71759033203125,292.8497619628906,161.4691162109375
2022-01-21,129.3232879638672,287.44146728515625,159.4079132080078
2022-01-24,129.60162353515625,287.7716064453125,158.63253784179688
2022-01-25,125.98661041259766,280.12017822265625,156.8265838623047
2022-01-26,128.476318359375,288.1016845703125,156.7382354736328
2022-01-27,128.3580322265625,291.140869140625,156.2769317626953
2022-01-28,132.50189208984375,299.3166198730469,167.18154907226562
2022-01-31,134.89663696289062,301.9577331542969,171.54928588867188
2022-02-01,137.06378173828125,299.8020935058594,171.38243103027344
2022-02-02,147.16177368164062,304.3657531738281,172.58970642089844
2022-02-03,141.80755615234375,292.50994873046875,169.7040252685547
2022-02-04,142.17092895507812,297.06390380859375,169.41903686523438
2022-02-07,138.1170196533203,292.21868896484375,168.70159912109375
2022-02-08,138.39039611816406,295.7239074707031,171.8169708251953
2022-02-09,140.6171417236328,302.18096923828125,173.2419891357422
2022-02-10,137.7834930419922,293.607177734375,169.15367126464844
2022-02-11,133.33743286132812,286.4801940917969,165.73367309570312
2022-02-14,134.50051879882812,286.44134521484375,165.9695587158203
2022-02-15,135.61936950683594,291.7525939941406,169.81214904785156
2022-02-16,136.6750946044922,291.412109375,169.57627868652344
2022-02-17,131.5266876220703,282.87890625,165.9695587158203
2022-02-18,129.6965789794922,280.154541015625,164.416748046875
2022-02-22,128.6378631591797,279.9501647949219,161.48814392089844
2022-02-23,126.83109283447266,272.70135498046875,157.3114013671875
2022-02-24,131.88951110839844,286.63470458984375,159.9353485107422
2022-02-25,133.72462463378906,289.2812194824219,162.0089569091797
2022-02-28,134.0939178466797,290.7212219238281,162.27435302734375
2022-03-01,133.37521362304688,286.9849548339844,160.38742065429688
2022-03-02,133.9552459716797,292.0834045410156,163.68951416015625
2022-03-03,133.51438903808594,287.9288024902344,163.36520385742188
2022-03-04,131.34127807617188,282.0323791503906,160.3579559326172
2022-03-07,125.71723175048828,271.3780822753906,156.55467224121094
2022-03-08,126.52642059326172,268.4007263183594,154.72669982910156
2022-03-09,133.07498168945312,280.7090759277344,160.1417236328125
2022-03-10,131.89797973632812,277.8776550292969,155.78807067871094
2022-03-11,129.70449829101562,272.50677490234375,152.06341552734375
2022-03-14,125.99207305908203,268.9747619628906,148.02423095703125
2022-03-15,128.89434814453125,279.39556884765625,152.4171600341797
2022-03-16,132.90052795410156,286.4400939941406,156.83966064453125
2022-03-17,133.80514526367188,287.2476501464844,157.85186767578125
2022-03-18,135.99314880371094,292.31689453125,161.15399169921875
2022-03-21,135.67205810546875,291.0812072753906,162.5298309326172
2022-03-22,139.44859313964844,295.8489074707031,165.91058349609375
2022-03-23,137.68507385253906,291.40234375,167.276611328125
2022-03-24,140.4770050048828,295.88787841796875,171.0701446533203
2022-03-25,140.68524169921875,295.479248046875,171.70887756347656
2022-03-28,141.11119079589844,302.3096008300781,172.57373046875
2022-03-29,142.40353393554688,306.8923645019531,175.87582397460938
2022-03-30,141.80162048339844,305.38427734375,174.70631408691406
2022-03-31,138.8242950439453,299.984130859375,171.6007843017578
2022-04-01,139.86859130859375,301.0641784667969,171.3059539794922
2022-04-04,142.793701171875,306.46429443359375,175.36480712890625
2022-04-05,140.2294464111328,302.4847412109375,172.0430450439453
2022-04-06,136.36541748046875,291.412109375,168.8686981201172
2022-04-07,135.65863037109375,293.2315673828125,169.17333984375
2022-04-08,133.2186279296875,288.95037841796875,167.15869140625
2022-04-11,129.02952575683594,277.556640625,162.8934783935547
2022-04-12,127.6159439086914,274.4429931640625,164.7705535888672
2022-04-13,129.51611328125,279.8528747558594,167.4633331298828
2022-04-14,126.50105285644531,272.2732238769531,162.44140625
2022-04-18,127.20487213134766,272.9446105957031,162.22520446777344
2022-04-19,129.7596893310547,277.5954895019531,164.51502990722656
2022-04-20,127.4876937866211,278.6268615722656,164.34796142578125
2022-04-21,124.1992416381836,273.2268371582031,163.5519256591797
2022-04-22,118.90719604492188,266.6298828125,159.00172424316406
2022-04-25,122.52171325683594,273.13922119140625,160.07293701171875
2022-04-26,118.7998275756836,262.9227600097656,154.09771728515625
2022-04-27,114.3408432006836,275.57171630859375,153.87167358398438
2022-04-28,118.70587921142578,281.8086242675781,160.81985473632812
2022-04-29,114.28716278076172,270.02557373046875,154.93307495117188
2022-05-02,116.46471405029297,276.7879333496094,155.2377166748047
2022-05-03,117.43146514892578,274.170654296875,156.73155212402344
2022-05-04,121.85070037841797,282.1491394042969,163.15884399414062
2022-05-05,116.05663299560547,269.8602294921875,154.06822204589844
2022-05-06,114.9765625,267.31097412109375,154.7965545654297
2022-05-09,112.41578674316406,257.4350891113281,149.6589813232422
2022-05-10,113.90742492675781,262.2221374511719,152.0702667236328
2022-05-11,113.28759765625,253.5138702392578,144.186767578125
